Name,Age,City,Score
Jessica Gibson,16,East Samueltown,7
Christina Rivera,18,Wilsonbury,9
Heather Dixon,16,Archertown,6
Rebecca White,16,South Kellyview,5
Michelle Gallagher,11,Cruzshire,4
Janice Dunn,15,New Jesse,3
Edgar Day,11,South Kevinchester,5
Anthony Ayala,11,North Sarahshire,1
Debra Kelly,15,Camerontown,7
Tracey Silva,15,West Jasonborough,10
Steven Edwards,13,West Justin,10
Christina Ibarra,11,Natashamouth,10
Stephanie Campbell,14,South Katieburgh,5
Michael Moore,16,Port Melissa,3
Patricia Nunez,12,West Adrienne,11
Brian West,12,North Randyton,5
John Brown Jr.,10,North Emily,9
Matthew Walton,18,Lake Melindafort,9
Nicholas Lewis,14,Turnerhaven,3
Chad Ellison,13,Port Brandifurt,7
Donald Campbell,18,Kathrynmouth,9
Joseph Jones,12,Paulstad,5
Michael Ferguson,14,Robertoville,7
William Anderson,16,Williamsburgh,2
Joe Ross,15,New Christopher,1
Tammy Arnold,17,Joneston,4
Brandon Crosby,17,Jamesmouth,11
Scott Shaw,11,Reginaton,8
Amy Morales,14,Davisburgh,4
David Hudson,18,East Gilbertmouth,1
Eric Schmidt,12,Port Stephen,8
Megan Ewing,11,Harrisonchester,6
Roger Baker,18,Port Jordan,3
Jennifer James,15,Dalefurt,12
Nancy Smith,18,South James,1
Brandy Camacho,11,Dantown,1
Shawn Rodriguez,13,New Joshuaton,12
Miss Kelly Phillips DDS,10,East Corey,8
Justin Smith,13,Lake Alexandria,11
Kaitlyn Gibson,18,Port Christophershire,8
Elaine Aguirre,17,South Victoria,11
Daniel Becker,10,Phillipsburgh,4
Marc Crawford,10,Glennside,10
Dennis Porter,13,South Jeffrey,3
Christopher Daniel,16,Wendyborough,3
Henry Mueller,12,New Tinaport,9
Timothy Peters,17,North Christinehaven,5
Marc Kane,10,East Dana,12
Meghan Walker,10,Phillipstown,5
Benjamin Duncan DDS,10,Maryburgh,11
Kimberly Dickson,10,Hillchester,11
Lauren Keller,13,Smithport,10
Miranda White,16,Ashleychester,6
Stephanie Fuentes,17,Port Amy,3
Virginia Smith,14,Hoffmanside,10
John Mann,15,East Tanner,12
Timothy Bennett,12,Austinview,12
Christopher Vargas,10,North Danielle,6
Andre Mccormick,15,Caseland,9
Ms. Ashley Lynn,13,New Carolyn,11
Stephanie Lee,16,Sanderston,11
Karen Li,14,Annchester,3
Roger Smith,18,Ellentown,5
Maria Hahn,17,East Nicolebury,2
Steven Perry,16,West Jesse,12
Christopher Mason,16,North Cherylberg,12
Julie Taylor,14,Davisville,10
Barry Allen,14,Rodriguezville,8
Caitlin Butler,10,Richardston,9
Casey Wolfe,12,West Ronald,1
Rachel Hughes,14,North William,4
Michelle Morrow,12,Stevensside,11
Jennifer Nelson,10,Sanchezborough,3
Jennifer Glover,18,South Fernandofurt,4
Jonathan Kennedy,14,West Angelaport,5
Laura Rodriguez,15,West Allen,7
Charles Arnold,15,West Shelly,7
Janice Nunez,12,Lake Jeffreyborough,5
Michelle Holmes,15,Lake Timothyport,3
Brianna Barry,10,Lake Trevor,3
Heather Harper,18,East Daniel,8
Linda Thompson,17,New Allisonborough,5
Jennifer Jacobs,17,Emilyview,11
Christina Lowe,15,Duncanbury,12
Melissa Perez,12,Johnsonland,6
Shawn Morse,12,East Beth,12
Michael Roberts,10,Port Monica,9
Kim King,16,Port Ryan,9
Dennis Morris,12,Bradleyhaven,8
Donna Walls,13,Jasonchester,9
Robert Maxwell,11,Port Maryport,12
Michelle Duran,16,South Isaacview,6
Willie Lopez,16,Lake Sara,9
Stephanie Norris,15,Garciafurt,6
Jonathan Alexander,13,West Katie,12
Stacy James,11,South Chelseaton,2
Jordan Richard,13,East Haley,11
Harold Olson,13,Jeffreyport,7
Joseph Carroll,12,Millermouth,4
Ian Watson,16,West Sheilaland,4
John Nelson,15,New Jasonmouth,2
Andrea Oconnor,12,Port Paige,1
Keith Delgado,10,Brownborough,2
John Ellis,17,Hamiltonchester,7
Jacob Thomas,13,New Michelle,12
Nichole Stokes,14,Lake Francisstad,8
David Hansen,15,Port Brandi,9
Zachary Morris,10,East Jeffreyview,3
Ashley Guzman,18,Hallland,11
Amber Farmer,16,Rojasburgh,10
Brett Delacruz,16,South Michael,6
Mr. Ryan Gray,14,West Joseph,12
Patricia Richards,12,South Michelefurt,10
Jennifer Sullivan,12,North Melissa,8
Tamara Ross MD,15,Adamshaven,12
Whitney Newman,12,East Ronaldshire,8
Nichole Allen,17,East Jeremy,8
Mike Stanley,12,North Elizabeth,8
John Medina,18,East Stevenfort,8
John Allen,14,North Erin,9
Sean Hill,17,Gateshaven,10
Kevin Holmes,17,Parrishburgh,2
James Gay,17,Ashleyville,1
John Manning,17,South Sydney,4
Penny Hodge,11,North Robertchester,6
Duane Galvan,17,West Gabrielborough,1
Bryan Johnson,16,South Normahaven,7
Jasmin Flores,15,Brockport,1
Douglas Phillips,13,Sullivanview,3
Stacie Ramos,11,New Matthewborough,9
Shannon Jordan,16,Elizabethhaven,9
Crystal Brooks,10,Port Danashire,2
Carl Webb,12,Martinton,10
Dale Frazier,13,East Todd,3
Brent Cuevas,13,Seanchester,5
John Ware,10,Marybury,6
Marc Rodriguez,10,Smithborough,1
John Fritz,13,Carrieton,1
Tammy Schneider,13,Port Louis,4
Richard Weber,13,Natalietown,4
Lindsey Sanchez,18,East Ashley,1
Tammy Hughes,12,Wrightborough,8
Andre Hanson,14,Lake Jillhaven,8
Jennifer Hernandez,15,Port Scott,6
Kyle Payne,15,Kimberlyside,6
Jeremy Miller,13,Sheltonberg,5
Peter Hamilton,10,Holmesburgh,11
Terry Williams,17,Juliestad,2
William Rogers,12,South Marymouth,10
Dakota Carlson,10,Lake Bryan,4
Richard Howard,16,East Gregoryton,5
Julie Johnson,15,Port Brenda,6
Shannon Nguyen,12,West Amberland,12
Jeffrey Bell,17,Leeland,6
Andrew Smith,14,West Jessestad,11
Christopher Davis,17,Robertsview,11
Daniel Diaz,17,Schwartzville,1
Ashley James,17,Port Cynthia,1
Elizabeth Stewart,14,Michaelmouth,9
Thomas Cox,11,Mirandafurt,6
Emily Cardenas,11,Petersborough,1
Bernard Payne,16,East Michaeltown,12
Betty Miller,15,West Kara,12
Patrick White,10,South Adamchester,3
Justin Combs,15,South Alyssaport,6
Jeremy Powers,15,West Andreaville,10
Jacob James Jr.,15,Jamesborough,11
Mark Vasquez,14,North Scottfort,6
Steven Jackson,14,Heatherfort,7
James Ball,12,Lake Wendy,10
Gabriel Andrews,13,Port Kathrynchester,11
Raymond Cook,14,Veronicamouth,9
Mark Short,11,West Michael,2
Michael Chambers,17,Benjaminmouth,2
Thomas Fleming,11,New Joshua,11
Noah Terry,13,West Jessefort,2
Jennifer Austin,15,Port Mary,7
Kayla Scott,15,Lake Tyler,4
Christina Cox,13,Port Billberg,1
Jonathan Wilkinson,12,North Jamestown,9
Christina Kirby MD,14,South Shannonton,9
Alexis Jones,16,South Bethanyland,3
Renee Casey MD,10,Crystaltown,6
Michelle Stuart,15,East Keith,4
Zachary Cook,16,New Kimchester,5
Jennifer Hansen,17,West Breannaberg,12
Danielle Perry,12,East Brettside,3
Erin Hall,10,East Kristinborough,11
Brianna Wright,10,East Elizabethside,3
Sylvia Johnson,10,West Sarah,5
Jared Combs,15,Lake Angela,8
Nicole Torres,12,Tammyton,1
Thomas Mendez,12,South Joe,5
Elizabeth Palmer,15,New Mark,10
Kimberly Horton,14,Mendozaburgh,4
Monica Smith,15,Oconnorfort,4
Jennifer Lara DVM,10,Isabelbury,4
Tristan Baker,14,Howeberg,7
Patricia Rosales,11,Beardbury,10
Peter Mills,11,Whiteberg,9
Jaime Hall,12,Smithfurt,1
Leah Flowers,13,Schmidtland,6
Christopher Castro,17,East Lisaton,7
Linda Parker,15,North Jose,3
Melissa Morris,13,Fordberg,4
John Kelley,16,New Jessicaside,9
Sandra Mcdonald,17,East Jessica,5
Kevin Herman,16,Cummingschester,4
Jessica Steele,17,Port Aaronfort,4
Crystal Williams DVM,14,Port Loritown,9
Linda Rivera,10,South Alyssa,12
Kim White,13,Sarahchester,6
Brian Henderson,17,Russellfort,12
Hunter Flowers,13,Lisaport,2
Lisa Baldwin,18,Kimberlyberg,12
Michele Bruce,10,South Richardtown,3
Shelby Rose,10,East Michael,4
Randy Le,14,Juarezville,7
Carrie Andrews,10,New Holly,2
Douglas Zamora,11,Port Kristen,3
Dawn Nelson,10,West Jeremiah,4
Erin Jones,11,New Sandraview,2
Barbara Johnson,11,Galvanburgh,2
Kara Doyle,11,Freemanburgh,1
Rachael Williams,14,Quinnshire,6
Anthony Henderson,15,New Johnfurt,3
Rachel Washington,17,Robinsonside,7
Edward Vasquez,10,Roberthaven,7
Candice Small,12,Port Karl,8
Lauren Chen,13,West Carloshaven,9
Dr. Jeffrey Martin MD,17,Meredithhaven,6
Sandra Patterson,11,Kelseyton,6
Andre Mckee,12,New William,12
Dylan Cook,14,Gonzaleschester,11
Judith Molina,14,Lake Valeriehaven,10
John Castillo,10,Sherrymouth,11
Jacob Cardenas,13,Larryport,11
Tamara Rojas,13,North David,1
Jesus Flores,18,West Katherine,9
Joseph White,15,Gilbertberg,12
Corey Murphy,13,Greenberg,10
Steven Palmer,17,South Cheryl,2
Alex Jackson,14,Port Saraborough,9
Michael Hammond,16,East Michelle,12
Heather Cardenas,13,Jeffreyborough,2
Andrea Scott,10,Kathleenchester,3
John Leonard,17,New Jessicamouth,2
Andrew Avila,12,Larsenberg,4
Dawn White,12,Elizabethchester,3
Brian Bradford,16,Port Michael,2
Melvin Harris,14,Leonardstad,2
Bradley Smith,13,North Shaneland,4
Denise Daniels,18,Richmondberg,9
Robert Pearson,10,Jonesfort,11
Deborah Warner,17,East Jonathanburgh,11
Michael Burns,17,Christopherstad,10
Sharon Wright,14,Harrisview,12
Joshua Jones,14,Bookerburgh,9
Connor Drake,17,Port Ryanland,3
Kenneth Scott,18,Evansberg,12
Emma Wiggins,17,Lisafurt,9
Michele Miles,15,New Bryan,8
April Murray,13,Rodriguezshire,9
Brendan Lee,11,Popeville,3
Jill Lane,11,Sabrinaside,11
John Cruz,11,Carrieburgh,3
Kyle Castaneda,13,Mirandaside,9
Rachel Turner,12,Timothyshire,9
Martin Boyd,16,Myershaven,11
Marcus Moore,14,Franklinmouth,1
Christina Williams,14,Sanderston,7
Elizabeth Johnson,12,Port Derek,11
Joe Walker,15,East Benjaminbury,10
Paula Cole,10,West Jennifer,2
Martin Quinn,13,West Natalieview,9
Christopher Gray,14,Port Franklinstad,6
Wesley Walker,12,Toddview,3
Christina Cooper,17,Rachelview,6
Deborah Mcintyre,17,East Joshua,3
Brandon Lopez,15,Carterberg,6
David Thompson,13,North Laurenburgh,4
Bonnie Black,14,Paulborough,5
Dominique Walker,13,East Daniel,10
Amy Harris,18,Lucaschester,10
Alexis Washington,11,South Cheryl,12
Brandon Lawrence,17,Michealland,12
Dr. Victor Robinson DDS,12,Christineshire,8
Sarah Bruce,14,West Christina,11
John Skinner,14,East Jeremiahfort,8
Timothy Klein,12,Lake Brandonhaven,4
Karla Sellers,14,Lake Melissa,1
Timothy Mcclure,18,Chavezside,8
Corey Frank,14,Levychester,1
Nicholas Park,15,Lake Peggy,1
Joshua Mathis,16,South Janet,3
Carlos Turner,18,East Meganstad,5
Jason Steele,18,Lesliehaven,2
Ian Blackwell,12,West Lydia,7
Maria Morris,18,Lake Miranda,10
Peggy Yang,12,Smithton,9
Eric Simpson,15,Port Michael,4
Jacob Hebert,12,Port Elizabeth,1
Bethany Brewer,18,Griffinburgh,2
Christopher Mejia,17,Port Misty,2
Curtis Wyatt Jr.,16,Grossville,5
Gina Lawrence,18,South Kristenville,7
Steven Jones,18,Stephaniemouth,12
Matthew Jacobs,17,Port Yeseniachester,1
Karen English,11,Kristenfurt,8
Rachael Thompson,15,West Danielstad,4
Catherine Estrada,15,Lewischester,6
Brian Hickman,11,Hollowayburgh,12
Hannah Chapman,10,Tracytown,11
Kyle Lawrence,11,Valeriefurt,3
Nathan Campbell,13,Aguirremouth,12
Kyle Ramos,14,Glennside,10
Jeffrey Garrison,13,Hortonhaven,4
Tonya Holland,17,South Christopher,1
Angel Brown,14,North Oscar,4
Cindy Jones,16,Port William,11
Robert Hendricks,17,Rodriguezshire,5
Mr. Kevin Hughes,10,East Anthonyshire,3
Stephen Saunders,13,West Ashley,10
Brooke Walker,11,East Douglasside,2
Richard Hernandez,16,North Michaeltown,3
Kevin Thompson,18,Bartonborough,7
Erika Watts,12,Rossport,4
Grant Johnston,16,Lake Julieberg,5
Monica Murphy,11,South Peggy,2
Meghan Smith,11,Mccartychester,6
Tyler Vargas,17,Rosston,3
Yvonne Ramirez,13,Sarashire,9
Jessica Allen,11,South Matthewfort,2
Leah Vaughn,16,Thomasshire,4
Meredith Pacheco,18,Jessicaberg,5
Krystal Cruz,17,Monicaport,4
Arthur Fox,18,Carolstad,12
Amber Padilla,15,New Victoria,10
Martin Nguyen,16,West Toniton,10
Jennifer Mack,15,New Michael,12
James Olson,12,Michelleville,8
Alicia Andersen,12,Davidchester,12
James Gilbert,13,Rojasmouth,3
Martin Whitehead,16,Arielville,8
Monique Rivera,17,South Debra,5
Tiffany Farley,15,West Jonathanborough,12
Lauren Pearson,16,Joannview,6
Debra Rosario,11,South Sherri,10
Ross Smith,18,West Thomas,1
