Name,Age,City,Score,Hours_Study,Projects,Efficiency,Cluster,Recommendation
Curtis Roberts,14,South Roberto,9,3,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Susan Williams,16,Lozanoville,3,4,2,0.75,High,Покращувати ефективність
Kristine Hood,15,South Danielfurt,12,1,1,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Monica Nguyen,17,East Keith,1,1,1,1.0,High,Покращувати ефективність
Jennifer Owen,12,Andreport,12,4,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Ronald Jimenez,12,West Anna,10,5,1,2.0,Low,Не будь слабим. Збільшуй навчання!
Linda Smith,16,Gardnerchester,2,2,2,1.0,High,Покращувати ефективність
Jenna Jefferson,11,Lake Davidchester,2,1,1,2.0,High,Покращувати ефективність
Matthew Richardson MD,12,Masseyport,5,2,1,2.5,High,Покращувати ефективність
Robert Taylor,12,South Jenniferborough,3,5,2,0.6,High,Покращувати ефективність
Gerald Hobbs,16,Nguyenbury,3,1,3,3.0,High,Покращувати ефективність
Ana Harper,13,Keithview,9,2,2,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Henry Brady,15,East Jodi,8,2,2,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Lisa Carr,13,Christinaville,5,2,3,2.5,High,Покращувати ефективність
Mary Hicks,11,Rhondaberg,6,2,2,3.0,High,Покращувати ефективність
Bryan Hall,12,Martinezbury,11,3,1,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Darlene Ruiz,11,Murphyland,9,1,1,9.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Melissa Santana,14,North Robinborough,1,2,3,0.5,High,Покращувати ефективність
Kyle Sullivan,10,Dennisburgh,6,5,1,1.2,Low,Не будь слабим. Збільшуй навчання!
Glen Bass,13,North Todd,7,2,3,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Elizabeth Contreras,16,Michaelstad,6,5,3,1.2,Low,Не будь слабим. Збільшуй навчання!
Patricia Mcdonald,16,Hardyton,7,1,2,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Donna Whitehead,16,Lake Kathleenbury,6,4,3,1.5,Low,Не будь слабим. Збільшуй навчання!
Jerry Lee,18,Tamarafurt,2,4,2,0.5,High,Покращувати ефективність
Samantha Lawson,12,Port Nichole,1,5,1,0.2,High,Покращувати ефективність
Sierra Neal,15,Tammiehaven,12,1,2,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Thomas Wilson,16,North Angela,8,5,2,1.6,Low,Не будь слабим. Збільшуй навчання!
Ryan Garcia,13,Hansonmouth,5,1,1,5.0,Medium,Практикуй більше годин
Heather Thomas,13,New Brianberg,11,4,3,2.75,Low,Не будь слабим. Збільшуй навчання!
Lauren Webb,14,Kerrville,2,5,2,0.4,High,Покращувати ефективність
Angela Moore,15,Sheilamouth,4,2,2,2.0,High,Покращувати ефективність
Allison Cordova,13,Daviston,7,3,3,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Heather Day,14,Lake Melissa,8,5,1,1.6,Low,Не будь слабим. Збільшуй навчання!
Robert Williams,11,Melvinton,8,1,3,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kelly Smith,16,West Jamiestad,5,2,1,2.5,High,Покращувати ефективність
Ronald Spencer,11,Andreland,9,5,3,1.8,Low,Не будь слабим. Збільшуй навчання!
Linda Kennedy,14,Amandaton,11,4,1,2.75,Low,Не будь слабим. Збільшуй навчання!
Alicia Keller,15,Debraside,8,4,2,2.0,Low,Не будь слабим. Збільшуй навчання!
Justin Lopez,18,New Adam,3,4,1,0.75,High,Покращувати ефективність
Jeremy Nelson,14,Jenniferland,7,3,1,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Laura Williams,14,Clayborough,7,1,1,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Shawn Mcdonald,12,West Steven,5,4,2,1.25,High,Покращувати ефективність
Ryan Nguyen,16,New John,11,1,3,11.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Antonio Potts,17,New Amberchester,4,2,1,2.0,High,Покращувати ефективність
Daniel Bryant,16,West Cindyton,6,5,3,1.2,Low,Не будь слабим. Збільшуй навчання!
Jonathan Richards,13,Lake Charleshaven,6,4,2,1.5,Low,Не будь слабим. Збільшуй навчання!
Joseph Warren,10,South Glenda,11,5,3,2.2,Low,Не будь слабим. Збільшуй навчання!
Aaron Vargas,15,Dannyland,12,4,1,3.0,Low,Не будь слабим. Збільшуй навчання!
Bryan Ware,14,Knightland,4,5,2,0.8,High,Покращувати ефективність
Alexander Richardson,12,Rileyville,11,2,3,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kelly Mcintyre,14,Rodriguezview,11,2,1,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Dominique Flores,16,Jessicahaven,12,5,3,2.4,Low,Не будь слабим. Збільшуй навчання!
Felicia Cunningham,13,Allenmouth,7,4,1,1.75,Low,Не будь слабим. Збільшуй навчання!
Annette Joseph,15,Patrickhaven,11,3,2,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Rose Jenkins,16,Port Andrew,1,4,1,0.25,High,Покращувати ефективність
Latoya Chambers,11,Port Timothy,9,5,2,1.8,Low,Не будь слабим. Збільшуй навчання!
Eric Hutchinson,18,Willisstad,4,5,3,0.8,High,Покращувати ефективність
Melissa Cruz,10,East Jamesborough,9,1,2,9.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Janice Myers,14,East Tammychester,11,2,2,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Nathan Robinson,12,East Jasonfurt,9,5,3,1.8,Low,Не будь слабим. Збільшуй навчання!
Bradley Edwards,17,Jenniferside,4,4,2,1.0,High,Покращувати ефективність
Samuel Tanner,14,Port Dana,12,1,1,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Hannah Ramirez,16,Paceville,8,3,3,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Ashley Williams,18,Lunastad,9,4,1,2.25,Low,Не будь слабим. Збільшуй навчання!
David Harris,14,East Veronicaland,4,1,1,4.0,High,Покращувати ефективність
Vicki Flores,10,Port Todd,2,4,2,0.5,High,Покращувати ефективність
Angela Mckay,14,East Ginaburgh,2,2,2,1.0,High,Покращувати ефективність
Norma Mccoy,10,Stevenstad,1,5,1,0.2,High,Покращувати ефективність
Brittany Reid,16,Haynesport,5,4,1,1.25,High,Покращувати ефективність
Darlene Williams,15,Manuelmouth,9,4,2,2.25,Low,Не будь слабим. Збільшуй навчання!
Heather Hood,14,Fuentesburgh,4,2,2,2.0,High,Покращувати ефективність
Mary Clark,11,Hubbardview,7,1,2,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Tiffany Baker,16,Lake Reginald,3,3,1,1.0,High,Покращувати ефективність
Ashley Cunningham,14,New Robert,8,2,3,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Tyler Black,15,New Susan,3,3,2,1.0,High,Покращувати ефективність
Scott Johnson,12,Lake Monica,8,4,3,2.0,Low,Не будь слабим. Збільшуй навчання!
Zachary Miller,16,Barkerbury,7,4,2,1.75,Low,Не будь слабим. Збільшуй навчання!
Jared Turner,18,Port Tracyfurt,12,2,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kyle Short,12,Port Ashley,6,2,1,3.0,High,Покращувати ефективність
Stephanie Hill,14,New Wesley,4,4,1,1.0,High,Покращувати ефективність
Daniel Owens,14,Torresbury,8,2,2,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Michelle Moore,16,Stephanietown,3,2,1,1.5,High,Покращувати ефективність
Teresa Lowe,17,Coleberg,10,5,1,2.0,Low,Не будь слабим. Збільшуй навчання!
Heather Russell,17,Yvonneborough,11,2,1,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Stephen Thomas,12,Lake Lauren,2,3,2,0.6666666666666666,High,Покращувати ефективність
Johnny Williams,18,Port Stephanieborough,4,5,2,0.8,High,Покращувати ефективність
Kim Hernandez DVM,17,South Matthewport,9,3,1,3.0,Low,Не будь слабим. Збільшуй навчання!
David Calhoun,10,East Amandamouth,2,1,2,2.0,High,Покращувати ефективність
Jennifer Wolf,15,Lake Danielborough,8,1,1,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Katherine Bradley,11,Port Christophermouth,6,4,1,1.5,Low,Не будь слабим. Збільшуй навчання!
Michael Middleton,10,Gonzaleztown,10,5,3,2.0,Low,Не будь слабим. Збільшуй навчання!
Angelica Gilbert,18,Port Tammy,5,3,2,1.6666666666666667,High,Покращувати ефективність
Kristin Byrd,10,Powellberg,10,4,1,2.5,Low,Не будь слабим. Збільшуй навчання!
Alicia Howard,15,Joeland,7,1,2,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Samantha Wright,14,New Emily,3,4,2,0.75,High,Покращувати ефективність
Adam Walker,12,Lake Nicholasview,10,4,1,2.5,Low,Не будь слабим. Збільшуй навчання!
Michael Leblanc,10,Schultzshire,7,3,1,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Joseph King,10,Lake Michaelside,1,3,2,0.3333333333333333,High,Покращувати ефективність
Michael Jones,15,Port Cody,9,5,3,1.8,Low,Не будь слабим. Збільшуй навчання!
Susan Underwood,13,Bauerburgh,9,1,2,9.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jason Oconnor,14,New Donna,3,1,1,3.0,High,Покращувати ефективність
Kevin Anderson,17,South Joseside,1,5,1,0.2,High,Покращувати ефективність
Joel Oconnor,16,Kathrynfort,4,2,2,2.0,High,Покращувати ефективність
Tracy Holder,13,Samanthaside,2,5,2,0.4,High,Покращувати ефективність
Jonathan Beltran,17,Lake Jasmineton,3,1,2,3.0,High,Покращувати ефективність
Haley Williams,14,New Chelseaburgh,5,2,3,2.5,High,Покращувати ефективність
Aaron Walters,15,Taylorside,2,3,3,0.6666666666666666,High,Покращувати ефективність
Corey Hamilton,18,New Kimberly,4,4,1,1.0,High,Покращувати ефективність
Edward Schaefer,18,Annburgh,3,5,2,0.6,High,Покращувати ефективність
Dr. Barbara Luna,15,West Zacharybury,11,4,1,2.75,Low,Не будь слабим. Збільшуй навчання!
Julie Guerrero,18,West Paul,2,3,2,0.6666666666666666,High,Покращувати ефективність
Kristin Dominguez,11,Davidfort,12,4,1,3.0,Low,Не будь слабим. Збільшуй навчання!
Antonio Graham,12,Chavezville,3,3,2,1.0,High,Покращувати ефективність
Christopher Long,12,Hensonfurt,9,4,3,2.25,Low,Не будь слабим. Збільшуй навчання!
Jessica Manning,11,Port Michael,1,2,3,0.5,High,Покращувати ефективність
Kristina Mendoza,18,Frankmouth,11,4,1,2.75,Low,Не будь слабим. Збільшуй навчання!
David Robinson,16,Lesliebury,3,5,3,0.6,High,Покращувати ефективність
James Moore,15,Lake Wyatttown,12,4,3,3.0,Low,Не будь слабим. Збільшуй навчання!
Donna Christensen,13,Bryanside,10,4,3,2.5,Low,Не будь слабим. Збільшуй навчання!
Michael Williams,12,West Codyport,6,3,1,2.0,High,Покращувати ефективність
Jose Malone,10,Rachaelview,6,1,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Andrea Vasquez,16,Kaylatown,4,1,1,4.0,High,Покращувати ефективність
Ryan Malone,14,Anthonyhaven,3,1,3,3.0,High,Покращувати ефективність
Debra Wright,11,Lake Ian,3,1,3,3.0,High,Покращувати ефективність
Priscilla Lewis,17,Morganhaven,11,5,2,2.2,Low,Не будь слабим. Збільшуй навчання!
Dustin Wright DVM,18,East Krystal,12,2,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Paul Ross,10,North Thomasland,4,4,2,1.0,High,Покращувати ефективність
Jeremy Ramirez,16,Haynesfurt,11,3,1,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Mary Taylor,11,Port Rodney,4,2,3,2.0,High,Покращувати ефективність
Jeremy Curtis,17,Lake Janiceburgh,12,3,2,4.0,Low,Не будь слабим. Збільшуй навчання!
Heidi Christian,11,Lisachester,3,4,3,0.75,High,Покращувати ефективність
Andrew Welch,12,Jessicaland,8,5,2,1.6,Low,Не будь слабим. Збільшуй навчання!
Miguel Tate,15,East Jennifer,5,4,1,1.25,High,Покращувати ефективність
Chad Pena,15,Gregorystad,10,3,3,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Lori Rowland,10,Oconnorstad,10,4,3,2.5,Low,Не будь слабим. Збільшуй навчання!
Mark Hall,16,West Rebeccahaven,1,3,2,0.3333333333333333,High,Покращувати ефективність
Pamela Zamora,14,Lake Kathryn,3,3,1,1.0,High,Покращувати ефективність
Kathryn Campbell,12,West Andrew,1,2,2,0.5,High,Покращувати ефективність
William Wallace,14,East Donaldmouth,9,4,3,2.25,Low,Не будь слабим. Збільшуй навчання!
Nicholas Long,14,North Johnfort,5,3,2,1.6666666666666667,High,Покращувати ефективність
Brent Norris,11,Cruzport,8,2,3,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Brittany Buchanan,16,Lake Stephaniemouth,2,5,2,0.4,High,Покращувати ефективність
Daniel Phillips,10,Port Sandyberg,6,1,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Stuart Mendoza,12,Lake Robertbury,10,3,2,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Natasha Jones,15,Cynthiafort,6,1,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Dr. Michael Watkins Jr.,15,Smithberg,1,4,1,0.25,High,Покращувати ефективність
Rachel Vasquez,16,Bethberg,5,3,2,1.6666666666666667,High,Покращувати ефективність
Barbara Conway,13,New Francesfort,9,4,1,2.25,Low,Не будь слабим. Збільшуй навчання!
Jamie Walton,12,Adammouth,12,4,3,3.0,Low,Не будь слабим. Збільшуй навчання!
Laurie Brewer,10,Lorraineton,5,2,2,2.5,High,Покращувати ефективність
Victoria Henry,16,Russellchester,7,4,2,1.75,Low,Не будь слабим. Збільшуй навчання!
David Meyer,18,New Tonya,12,4,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Perry Smith,13,North Carmenchester,3,2,1,1.5,High,Покращувати ефективність
Carla Braun,18,West Hailey,7,5,1,1.4,Low,Не будь слабим. Збільшуй навчання!
Anita King,10,Port Julian,4,4,2,1.0,High,Покращувати ефективність
Jacob Wells DDS,13,New Daniel,11,5,2,2.2,Low,Не будь слабим. Збільшуй навчання!
Tonya Williams,14,Cunninghamberg,3,2,3,1.5,High,Покращувати ефективність
Lauren Grant,11,North Matthewburgh,7,3,3,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Tracey Barnes,10,Kaitlynside,10,1,2,10.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Anne Brown,10,New Jenniferberg,4,4,3,1.0,High,Покращувати ефективність
Cynthia Clark,12,Danielleview,3,1,1,3.0,High,Покращувати ефективність
Mark Craig,14,Kimville,1,2,2,0.5,High,Покращувати ефективність
Craig Wells,14,South Jenniferport,3,3,3,1.0,High,Покращувати ефективність
Lisa Beck,16,North Laurenport,3,3,1,1.0,High,Покращувати ефективність
Xavier Jensen,10,South Brett,11,5,3,2.2,Low,Не будь слабим. Збільшуй навчання!
Melinda Smith,10,Port Paul,9,3,2,3.0,Low,Не будь слабим. Збільшуй навчання!
William Richardson,16,Ginabury,8,4,2,2.0,Low,Не будь слабим. Збільшуй навчання!
Richard Baker,11,Riverabury,3,2,3,1.5,High,Покращувати ефективність
David King,13,Henryfurt,6,2,3,3.0,High,Покращувати ефективність
Sarah Johnson,16,North Candacebury,3,5,3,0.6,High,Покращувати ефективність
Chad Brown,17,North Alexandermouth,10,4,2,2.5,Low,Не будь слабим. Збільшуй навчання!
Jacob Vargas,11,West Amandaberg,6,1,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Marc Sanders,18,Port Linda,3,2,2,1.5,High,Покращувати ефективність
Lindsey Sanders,13,North Davidport,12,5,3,2.4,Low,Не будь слабим. Збільшуй навчання!
Jonathan Garcia,17,South Craig,4,2,1,2.0,High,Покращувати ефективність
Willie Vang,11,Wayneview,7,5,1,1.4,Low,Не будь слабим. Збільшуй навчання!
Ashley Thompson,13,Nicholsontown,3,5,3,0.6,High,Покращувати ефективність
Diana Wilson,12,New Sarah,8,3,1,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
John Contreras,13,Lake Frank,3,4,1,0.75,High,Покращувати ефективність
Jason Thomas,14,New Samanthaside,3,4,1,0.75,High,Покращувати ефективність
Howard Anderson,18,New Gregory,11,4,2,2.75,Low,Не будь слабим. Збільшуй навчання!
Regina Villanueva,18,Lake Conniestad,9,3,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Cathy Gonzalez,11,North Donaldtown,4,3,3,1.3333333333333333,High,Покращувати ефективність
Aaron Porter,13,Paultown,9,3,1,3.0,Low,Не будь слабим. Збільшуй навчання!
Travis Jackson,13,Walkerstad,11,2,1,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Catherine Mccormick,16,Lake Pamelaberg,7,2,3,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kimberly Haney,18,Robertsview,9,2,3,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Katherine Hill,11,South William,4,4,1,1.0,High,Покращувати ефективність
Amber Santos,14,North Kimborough,6,3,2,2.0,High,Покращувати ефективність
Jennifer Smith,15,Lake Anneville,8,5,2,1.6,Low,Не будь слабим. Збільшуй навчання!
Angela Kramer DDS,13,New Cynthia,2,1,1,2.0,High,Покращувати ефективність
Nicole Marsh,10,Jenniferchester,1,3,3,0.3333333333333333,High,Покращувати ефективність
Jonathan Thomas,16,Lisachester,1,5,1,0.2,High,Покращувати ефективність
John Martinez,15,Stephaniechester,4,2,1,2.0,High,Покращувати ефективність
Teresa Lewis,10,Lake Craigborough,11,3,3,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Brenda Nichols,14,Jonathanhaven,3,1,2,3.0,High,Покращувати ефективність
Anthony Watson,14,New Laura,11,4,2,2.75,Low,Не будь слабим. Збільшуй навчання!
Douglas Carlson,14,South Fernandotown,1,1,3,1.0,High,Покращувати ефективність
Susan Cruz,18,New Susan,5,1,2,5.0,Medium,Практикуй більше годин
Edward Silva,13,Kingview,12,1,3,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jasmine Martinez,15,Greenshire,2,1,1,2.0,High,Покращувати ефективність
Eric Hull,12,South Bradhaven,6,5,3,1.2,Low,Не будь слабим. Збільшуй навчання!
Tasha Garcia,16,South Jose,3,1,1,3.0,High,Покращувати ефективність
Melissa Johnson,14,Brianton,9,3,3,3.0,Low,Не будь слабим. Збільшуй навчання!
Tyler Dunlap,14,Williamberg,4,5,1,0.8,High,Покращувати ефективність
Kimberly Wilson,17,West Jasonberg,1,4,3,0.25,High,Покращувати ефективність
Jennifer Young,10,Lake David,6,1,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Erica Atkins,13,Vasquezton,3,4,1,0.75,High,Покращувати ефективність
John Stevens,11,Nicolebury,7,2,1,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Dr. Mackenzie Garrison,10,West Wandaton,6,2,3,3.0,High,Покращувати ефективність
Miss Kathleen Matthews,15,Josefort,7,3,3,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Allen Garcia,13,Robertfort,9,3,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Colleen Rodriguez,12,South Josephshire,2,5,3,0.4,High,Покращувати ефективність
Jennifer Torres,10,Danielfort,1,4,3,0.25,High,Покращувати ефективність
Maureen King,12,Lake Cynthialand,4,1,3,4.0,Medium,Практикуй більше годин
Jay Cannon,13,West Michaelmouth,6,1,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Tanya Sanchez,14,Kingfurt,2,4,3,0.5,High,Покращувати ефективність
Matthew Clark,10,Markfort,7,2,2,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kari Webster,11,Rogerland,11,5,3,2.2,Low,Не будь слабим. Збільшуй навчання!
Evan Nelson,16,Bethton,2,4,2,0.5,High,Покращувати ефективність
Jason Garcia,15,Cruzfort,8,1,3,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Bryan Clayton,16,Richardmouth,9,3,1,3.0,Low,Не будь слабим. Збільшуй навчання!
Bryan Burns,16,West Christopher,9,1,1,9.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Nathaniel Morgan,14,Gabrielaville,6,4,1,1.5,Low,Не будь слабим. Збільшуй навчання!
Darius Nichols,15,Lake Mason,2,4,1,0.5,High,Покращувати ефективність
Timothy Horn,14,North Jesse,9,3,1,3.0,Low,Не будь слабим. Збільшуй навчання!
Seth Green,13,Josephland,2,2,2,1.0,High,Покращувати ефективність
Wendy Mccoy,10,Glennstad,4,5,3,0.8,High,Покращувати ефективність
Alice Davis,14,Wellsview,6,2,3,3.0,High,Покращувати ефективність
Dr. Jon Mitchell,11,Lake Johnton,5,1,3,5.0,Medium,Практикуй більше годин
Jeffrey Stone,14,Richardfort,10,2,3,5.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Autumn Harris,13,New Tammietown,4,4,3,1.0,High,Покращувати ефективність
Gregory Chan,17,East Lisafort,11,3,2,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Sergio Oliver,17,Lake Joanview,9,4,2,2.25,Low,Не будь слабим. Збільшуй навчання!
Patrick Murphy,10,New Kimberlyville,10,1,2,10.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Michael Knight,14,South Tylerstad,2,5,3,0.4,High,Покращувати ефективність
Helen Zimmerman,16,Thomasview,2,5,3,0.4,High,Покращувати ефективність
Brenda Johnson,10,Williamborough,5,4,3,1.25,High,Покращувати ефективність
Stephanie Beck,17,West Aaronmouth,12,1,1,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
John Greene,17,Mooreburgh,7,5,1,1.4,Low,Не будь слабим. Збільшуй навчання!
Diana Rios,15,Ellisborough,9,5,2,1.8,Low,Не будь слабим. Збільшуй навчання!
Matthew Diaz,13,Kimberlyburgh,10,4,3,2.5,Low,Не будь слабим. Збільшуй навчання!
James Grimes,18,Youngbury,2,4,2,0.5,High,Покращувати ефективність
Kristin Powell,14,Jonesberg,7,5,3,1.4,Low,Не будь слабим. Збільшуй навчання!
Alexandra Manning,13,Johnsonport,2,5,1,0.4,High,Покращувати ефективність
Bryan Powell,14,East Paulstad,8,5,3,1.6,Low,Не будь слабим. Збільшуй навчання!
Kristen Carney MD,17,Port Michelle,6,2,1,3.0,High,Покращувати ефективність
Christopher Duncan,11,West Michelefort,12,2,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jason Bond,10,North Alyssamouth,1,2,1,0.5,High,Покращувати ефективність
Matthew Baker,11,Smithview,11,2,1,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Courtney Mcclure,12,Toddfort,7,1,3,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Erica Foster,13,West Ann,7,3,3,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Stephanie Ramirez,10,Michaelton,1,5,2,0.2,High,Покращувати ефективність
Erik Willis,11,Jamesville,6,3,2,2.0,High,Покращувати ефективність
Paul Harmon,13,New Tyler,4,4,3,1.0,High,Покращувати ефективність
Toni Mathews,11,Taylorside,1,4,3,0.25,High,Покращувати ефективність
Wanda Taylor,16,Lake Michael,5,3,1,1.6666666666666667,High,Покращувати ефективність
Steven Taylor,12,Port Amanda,3,4,1,0.75,High,Покращувати ефективність
Veronica Scott,14,Lake Jerome,3,4,3,0.75,High,Покращувати ефективність
Krystal Taylor,16,Christyborough,2,5,1,0.4,High,Покращувати ефективність
