Name,Age,City,Score,Hours_Study,Projects,Efficiency
Jenna Jefferson,11,Lake Davidchester,2,1,1,2.0
Matthew Richardson MD,12,Masseyport,5,2,1,2.5
Robert Taylor,12,South Jenniferborough,3,5,2,0.6
Gerald Hobbs,16,Nguyenbury,3,1,3,3.0
Ana Harper,13,Keithview,9,2,2,4.5
Henry Brady,15,East Jodi,8,2,2,4.0
Lisa Carr,13,Christinaville,5,2,3,2.5
Mary Hicks,11,Rhondaberg,6,2,2,3.0
Bryan Hall,12,Martinezbury,11,3,1,3.6666666666666665
Darlene Ruiz,11,Murphyland,9,1,1,9.0
Melissa Santana,14,North Robinborough,1,2,3,0.5
Kyle Sullivan,10,Dennisburgh,6,5,1,1.2
Glen Bass,13,North Todd,7,2,3,3.5
Elizabeth Contreras,16,Michaelstad,6,5,3,1.2
Patricia Mcdonald,16,Hardyton,7,1,2,7.0
Donna Whitehead,16,Lake Kathleenbury,6,4,3,1.5
Jerry Lee,18,Tamarafurt,2,4,2,0.5
Samantha Lawson,12,Port Nichole,1,5,1,0.2
Sierra Neal,15,Tammiehaven,12,1,2,12.0
Thomas Wilson,16,North Angela,8,5,2,1.6
Ryan Garcia,13,Hansonmouth,5,1,1,5.0
Heather Thomas,13,New Brianberg,11,4,3,2.75
Lauren Webb,14,Kerrville,2,5,2,0.4
Angela Moore,15,Sheilamouth,4,2,2,2.0
Allison Cordova,13,Daviston,7,3,3,2.3333333333333335
Heather Day,14,Lake Melissa,8,5,1,1.6
Robert Williams,11,Melvinton,8,1,3,8.0
Kelly Smith,16,West Jamiestad,5,2,1,2.5
Ronald Spencer,11,Andreland,9,5,3,1.8
Linda Kennedy,14,Amandaton,11,4,1,2.75
Alicia Keller,15,Debraside,8,4,2,2.0
Justin Lopez,18,New Adam,3,4,1,0.75
Jeremy Nelson,14,Jenniferland,7,3,1,2.3333333333333335
Laura Williams,14,Clayborough,7,1,1,7.0
Shawn Mcdonald,12,West Steven,5,4,2,1.25
Ryan Nguyen,16,New John,11,1,3,11.0
Antonio Potts,17,New Amberchester,4,2,1,2.0
Daniel Bryant,16,West Cindyton,6,5,3,1.2
Jonathan Richards,13,Lake Charleshaven,6,4,2,1.5
Joseph Warren,10,South Glenda,11,5,3,2.2
Aaron Vargas,15,Dannyland,12,4,1,3.0
Bryan Ware,14,Knightland,4,5,2,0.8
Alexander Richardson,12,Rileyville,11,2,3,5.5
Kelly Mcintyre,14,Rodriguezview,11,2,1,5.5
Dominique Flores,16,Jessicahaven,12,5,3,2.4
Felicia Cunningham,13,Allenmouth,7,4,1,1.75
Annette Joseph,15,Patrickhaven,11,3,2,3.6666666666666665
Rose Jenkins,16,Port Andrew,1,4,1,0.25
Latoya Chambers,11,Port Timothy,9,5,2,1.8
Eric Hutchinson,18,Willisstad,4,5,3,0.8
Melissa Cruz,10,East Jamesborough,9,1,2,9.0
Janice Myers,14,East Tammychester,11,2,2,5.5
Nathan Robinson,12,East Jasonfurt,9,5,3,1.8
Bradley Edwards,17,Jenniferside,4,4,2,1.0
Samuel Tanner,14,Port Dana,12,1,1,12.0
Hannah Ramirez,16,Paceville,8,3,3,2.6666666666666665
Ashley Williams,18,Lunastad,9,4,1,2.25
David Harris,14,East Veronicaland,4,1,1,4.0
Vicki Flores,10,Port Todd,2,4,2,0.5
Angela Mckay,14,East Ginaburgh,2,2,2,1.0
Norma Mccoy,10,Stevenstad,1,5,1,0.2
Brittany Reid,16,Haynesport,5,4,1,1.25
Darlene Williams,15,Manuelmouth,9,4,2,2.25
Heather Hood,14,Fuentesburgh,4,2,2,2.0
Mary Clark,11,Hubbardview,7,1,2,7.0
Tiffany Baker,16,Lake Reginald,3,3,1,1.0
Ashley Cunningham,14,New Robert,8,2,3,4.0
Tyler Black,15,New Susan,3,3,2,1.0
Scott Johnson,12,Lake Monica,8,4,3,2.0
Zachary Miller,16,Barkerbury,7,4,2,1.75
Jared Turner,18,Port Tracyfurt,12,2,3,6.0
Kyle Short,12,Port Ashley,6,2,1,3.0
Stephanie Hill,14,New Wesley,4,4,1,1.0
Daniel Owens,14,Torresbury,8,2,2,4.0
Michelle Moore,16,Stephanietown,3,2,1,1.5
Teresa Lowe,17,Coleberg,10,5,1,2.0
Heather Russell,17,Yvonneborough,11,2,1,5.5
Stephen Thomas,12,Lake Lauren,2,3,2,0.6666666666666666
Johnny Williams,18,Port Stephanieborough,4,5,2,0.8
Kim Hernandez DVM,17,South Matthewport,9,3,1,3.0
David Calhoun,10,East Amandamouth,2,1,2,2.0
Jennifer Wolf,15,Lake Danielborough,8,1,1,8.0
Katherine Bradley,11,Port Christophermouth,6,4,1,1.5
Michael Middleton,10,Gonzaleztown,10,5,3,2.0
Angelica Gilbert,18,Port Tammy,5,3,2,1.6666666666666667
Kristin Byrd,10,Powellberg,10,4,1,2.5
Alicia Howard,15,Joeland,7,1,2,7.0
Samantha Wright,14,New Emily,3,4,2,0.75
Adam Walker,12,Lake Nicholasview,10,4,1,2.5
Michael Leblanc,10,Schultzshire,7,3,1,2.3333333333333335
Joseph King,10,Lake Michaelside,1,3,2,0.3333333333333333
Michael Jones,15,Port Cody,9,5,3,1.8
Susan Underwood,13,Bauerburgh,9,1,2,9.0
Jason Oconnor,14,New Donna,3,1,1,3.0
Kevin Anderson,17,South Joseside,1,5,1,0.2
Joel Oconnor,16,Kathrynfort,4,2,2,2.0
Tracy Holder,13,Samanthaside,2,5,2,0.4
Jonathan Beltran,17,Lake Jasmineton,3,1,2,3.0
Haley Williams,14,New Chelseaburgh,5,2,3,2.5
Aaron Walters,15,Taylorside,2,3,3,0.6666666666666666
Corey Hamilton,18,New Kimberly,4,4,1,1.0
Edward Schaefer,18,Annburgh,3,5,2,0.6
Dr. Barbara Luna,15,West Zacharybury,11,4,1,2.75
Julie Guerrero,18,West Paul,2,3,2,0.6666666666666666
Kristin Dominguez,11,Davidfort,12,4,1,3.0
Antonio Graham,12,Chavezville,3,3,2,1.0
Christopher Long,12,Hensonfurt,9,4,3,2.25
Jessica Manning,11,Port Michael,1,2,3,0.5
Kristina Mendoza,18,Frankmouth,11,4,1,2.75
David Robinson,16,Lesliebury,3,5,3,0.6
James Moore,15,Lake Wyatttown,12,4,3,3.0
Donna Christensen,13,Bryanside,10,4,3,2.5
Michael Williams,12,West Codyport,6,3,1,2.0
Jose Malone,10,Rachaelview,6,1,2,6.0
Andrea Vasquez,16,Kaylatown,4,1,1,4.0
Ryan Malone,14,Anthonyhaven,3,1,3,3.0
Debra Wright,11,Lake Ian,3,1,3,3.0
Priscilla Lewis,17,Morganhaven,11,5,2,2.2
Dustin Wright DVM,18,East Krystal,12,2,3,6.0
Paul Ross,10,North Thomasland,4,4,2,1.0
Jeremy Ramirez,16,Haynesfurt,11,3,1,3.6666666666666665
Mary Taylor,11,Port Rodney,4,2,3,2.0
Jeremy Curtis,17,Lake Janiceburgh,12,3,2,4.0
Heidi Christian,11,Lisachester,3,4,3,0.75
Andrew Welch,12,Jessicaland,8,5,2,1.6
Miguel Tate,15,East Jennifer,5,4,1,1.25
Chad Pena,15,Gregorystad,10,3,3,3.3333333333333335
Lori Rowland,10,Oconnorstad,10,4,3,2.5
Mark Hall,16,West Rebeccahaven,1,3,2,0.3333333333333333
Pamela Zamora,14,Lake Kathryn,3,3,1,1.0
Kathryn Campbell,12,West Andrew,1,2,2,0.5
William Wallace,14,East Donaldmouth,9,4,3,2.25
Nicholas Long,14,North Johnfort,5,3,2,1.6666666666666667
Brent Norris,11,Cruzport,8,2,3,4.0
Brittany Buchanan,16,Lake Stephaniemouth,2,5,2,0.4
Daniel Phillips,10,Port Sandyberg,6,1,2,6.0
Stuart Mendoza,12,Lake Robertbury,10,3,2,3.3333333333333335
Natasha Jones,15,Cynthiafort,6,1,1,6.0
Dr. Michael Watkins Jr.,15,Smithberg,1,4,1,0.25
Rachel Vasquez,16,Bethberg,5,3,2,1.6666666666666667
Barbara Conway,13,New Francesfort,9,4,1,2.25
Jamie Walton,12,Adammouth,12,4,3,3.0
Laurie Brewer,10,Lorraineton,5,2,2,2.5
Victoria Henry,16,Russellchester,7,4,2,1.75
David Meyer,18,New Tonya,12,4,2,3.0
Perry Smith,13,North Carmenchester,3,2,1,1.5
Carla Braun,18,West Hailey,7,5,1,1.4
Anita King,10,Port Julian,4,4,2,1.0
Jacob Wells DDS,13,New Daniel,11,5,2,2.2
Tonya Williams,14,Cunninghamberg,3,2,3,1.5
Lauren Grant,11,North Matthewburgh,7,3,3,2.3333333333333335
Tracey Barnes,10,Kaitlynside,10,1,2,10.0
Anne Brown,10,New Jenniferberg,4,4,3,1.0
Cynthia Clark,12,Danielleview,3,1,1,3.0
Mark Craig,14,Kimville,1,2,2,0.5
Craig Wells,14,South Jenniferport,3,3,3,1.0
Lisa Beck,16,North Laurenport,3,3,1,1.0
Xavier Jensen,10,South Brett,11,5,3,2.2
Melinda Smith,10,Port Paul,9,3,2,3.0
William Richardson,16,Ginabury,8,4,2,2.0
Richard Baker,11,Riverabury,3,2,3,1.5
David King,13,Henryfurt,6,2,3,3.0
Sarah Johnson,16,North Candacebury,3,5,3,0.6
Chad Brown,17,North Alexandermouth,10,4,2,2.5
Jacob Vargas,11,West Amandaberg,6,1,3,6.0
Marc Sanders,18,Port Linda,3,2,2,1.5
Lindsey Sanders,13,North Davidport,12,5,3,2.4
Jonathan Garcia,17,South Craig,4,2,1,2.0
Willie Vang,11,Wayneview,7,5,1,1.4
Ashley Thompson,13,Nicholsontown,3,5,3,0.6
Diana Wilson,12,New Sarah,8,3,1,2.6666666666666665
John Contreras,13,Lake Frank,3,4,1,0.75
Jason Thomas,14,New Samanthaside,3,4,1,0.75
Howard Anderson,18,New Gregory,11,4,2,2.75
Regina Villanueva,18,Lake Conniestad,9,3,2,3.0
Cathy Gonzalez,11,North Donaldtown,4,3,3,1.3333333333333333
Aaron Porter,13,Paultown,9,3,1,3.0
Travis Jackson,13,Walkerstad,11,2,1,5.5
Catherine Mccormick,16,Lake Pamelaberg,7,2,3,3.5
Kimberly Haney,18,Robertsview,9,2,3,4.5
Katherine Hill,11,South William,4,4,1,1.0
Amber Santos,14,North Kimborough,6,3,2,2.0
Jennifer Smith,15,Lake Anneville,8,5,2,1.6
Angela Kramer DDS,13,New Cynthia,2,1,1,2.0
Nicole Marsh,10,Jenniferchester,1,3,3,0.3333333333333333
Jonathan Thomas,16,Lisachester,1,5,1,0.2
John Martinez,15,Stephaniechester,4,2,1,2.0
Teresa Lewis,10,Lake Craigborough,11,3,3,3.6666666666666665
Brenda Nichols,14,Jonathanhaven,3,1,2,3.0
Anthony Watson,14,New Laura,11,4,2,2.75
Douglas Carlson,14,South Fernandotown,1,1,3,1.0
Susan Cruz,18,New Susan,5,1,2,5.0
Edward Silva,13,Kingview,12,1,3,12.0
Jasmine Martinez,15,Greenshire,2,1,1,2.0
Eric Hull,12,South Bradhaven,6,5,3,1.2
Tasha Garcia,16,South Jose,3,1,1,3.0
Melissa Johnson,14,Brianton,9,3,3,3.0
Tyler Dunlap,14,Williamberg,4,5,1,0.8
Kimberly Wilson,17,West Jasonberg,1,4,3,0.25
Jennifer Young,10,Lake David,6,1,2,6.0
Erica Atkins,13,Vasquezton,3,4,1,0.75
John Stevens,11,Nicolebury,7,2,1,3.5
Dr. Mackenzie Garrison,10,West Wandaton,6,2,3,3.0
Miss Kathleen Matthews,15,Josefort,7,3,3,2.3333333333333335
Allen Garcia,13,Robertfort,9,3,2,3.0
Colleen Rodriguez,12,South Josephshire,2,5,3,0.4
Jennifer Torres,10,Danielfort,1,4,3,0.25
Maureen King,12,Lake Cynthialand,4,1,3,4.0
Jay Cannon,13,West Michaelmouth,6,1,2,6.0
Tanya Sanchez,14,Kingfurt,2,4,3,0.5
Matthew Clark,10,Markfort,7,2,2,3.5
Kari Webster,11,Rogerland,11,5,3,2.2
Evan Nelson,16,Bethton,2,4,2,0.5
Jason Garcia,15,Cruzfort,8,1,3,8.0
Bryan Clayton,16,Richardmouth,9,3,1,3.0
Bryan Burns,16,West Christopher,9,1,1,9.0
Nathaniel Morgan,14,Gabrielaville,6,4,1,1.5
Darius Nichols,15,Lake Mason,2,4,1,0.5
Timothy Horn,14,North Jesse,9,3,1,3.0
Seth Green,13,Josephland,2,2,2,1.0
Wendy Mccoy,10,Glennstad,4,5,3,0.8
Alice Davis,14,Wellsview,6,2,3,3.0
Dr. Jon Mitchell,11,Lake Johnton,5,1,3,5.0
Jeffrey Stone,14,Richardfort,10,2,3,5.0
Autumn Harris,13,New Tammietown,4,4,3,1.0
Gregory Chan,17,East Lisafort,11,3,2,3.6666666666666665
Sergio Oliver,17,Lake Joanview,9,4,2,2.25
Patrick Murphy,10,New Kimberlyville,10,1,2,10.0
Michael Knight,14,South Tylerstad,2,5,3,0.4
Helen Zimmerman,16,Thomasview,2,5,3,0.4
Brenda Johnson,10,Williamborough,5,4,3,1.25
Stephanie Beck,17,West Aaronmouth,12,1,1,12.0
John Greene,17,Mooreburgh,7,5,1,1.4
Diana Rios,15,Ellisborough,9,5,2,1.8
Matthew Diaz,13,Kimberlyburgh,10,4,3,2.5
James Grimes,18,Youngbury,2,4,2,0.5
Kristin Powell,14,Jonesberg,7,5,3,1.4
Alexandra Manning,13,Johnsonport,2,5,1,0.4
Bryan Powell,14,East Paulstad,8,5,3,1.6
Kristen Carney MD,17,Port Michelle,6,2,1,3.0
Christopher Duncan,11,West Michelefort,12,2,2,6.0
Jason Bond,10,North Alyssamouth,1,2,1,0.5
Matthew Baker,11,Smithview,11,2,1,5.5
Courtney Mcclure,12,Toddfort,7,1,3,7.0
Erica Foster,13,West Ann,7,3,3,2.3333333333333335
Stephanie Ramirez,10,Michaelton,1,5,2,0.2
Erik Willis,11,Jamesville,6,3,2,2.0
Paul Harmon,13,New Tyler,4,4,3,1.0
Toni Mathews,11,Taylorside,1,4,3,0.25
Wanda Taylor,16,Lake Michael,5,3,1,1.6666666666666667
Steven Taylor,12,Port Amanda,3,4,1,0.75
Veronica Scott,14,Lake Jerome,3,4,3,0.75
Krystal Taylor,16,Christyborough,2,5,1,0.4
James Kim,14,Timothyshire,3,5,3,0.6
Jason Smith,16,Davidshire,7,5,1,1.4
Joshua Mcdaniel,11,North Robertmouth,2,4,1,0.5
John Wolf,14,Eatonstad,9,4,1,2.25
James White,14,Cathyton,5,1,2,5.0
George Johnson,12,Levineborough,5,1,1,5.0
Noah Ponce,11,West Jamesport,1,2,2,0.5
Suzanne Lewis,11,North Alexandra,5,5,1,1.0
Jason Payne,17,Williamsport,7,2,1,3.5
Mr. Jonathan Whitaker V,12,New Chelseashire,5,4,2,1.25
Lisa Hall,17,Williamburgh,4,2,2,2.0
Kathleen Jones,18,Robertsbury,5,1,3,5.0
Patrick Mckinney,17,Rickytown,5,3,1,1.6666666666666667
Regina Krause,18,West Mark,5,3,2,1.6666666666666667
Natalie Russo,12,Lake Dana,8,4,2,2.0
William Perez,14,Lake Anna,3,5,2,0.6
Tammy Morris DVM,13,Weissville,6,4,2,1.5
Theodore Bowers,18,South Rickyville,3,4,1,0.75
Cassie Sampson,18,South Heidi,4,3,2,1.3333333333333333
Meagan Gamble,15,New Jose,10,4,2,2.5
Amy Patterson,18,Caldwellburgh,2,3,3,0.6666666666666666
Andrew Booth,13,East Amanda,9,2,2,4.5
Colleen Smith,16,Amandaville,3,2,1,1.5
Jacob Pineda,10,South Tyrone,6,1,2,6.0
Lori Ramos,16,Wrightport,10,5,1,2.0
Michelle Garcia,11,New Nicole,1,1,2,1.0
James Spears,16,Andrewfurt,2,2,1,1.0
Joseph Lopez,16,South Henry,8,4,3,2.0
Laura Harris,11,New John,2,4,2,0.5
Katherine Adams,10,Philipchester,4,2,3,2.0
Collin White,11,Muellermouth,4,4,2,1.0
Julie Johnson MD,14,West Spencer,4,2,3,2.0
Joshua Whitehead,11,Lake Patrickview,3,3,1,1.0
Taylor Kennedy,14,East Meghan,12,2,1,6.0
Jennifer Thompson,14,Lake Daniel,3,3,2,1.0
Amanda Serrano,18,Graceton,11,1,3,11.0
Jordan Benson,13,Jenningsfurt,2,1,1,2.0
Ronald Acosta,11,Mitchelltown,6,1,2,6.0
Benjamin Clark,10,East Charleshaven,4,2,1,2.0
Carrie Mcdonald,14,South Terri,7,3,3,2.3333333333333335
Michael Moreno,15,Morrisonview,9,2,3,4.5
Jose Vaughan,10,Saraport,8,2,1,4.0
Marcia Campbell,14,Edwardsfurt,8,1,2,8.0
Walter Mathis,18,Boyerbury,10,5,3,2.0
Keith Smith,15,Jackfurt,4,5,1,0.8
Amanda Larson,15,Myersmouth,3,4,1,0.75
Robert Morton,10,East Jenniferview,12,2,1,6.0
Allison Tucker,15,South Meredith,12,3,1,4.0
Desiree Goodman,18,Bowmanborough,11,3,1,3.6666666666666665
Angelica Torres,13,North Melissa,4,2,1,2.0
Michael Castillo,18,Mayton,10,1,1,10.0
Timothy Cox II,16,Thompsonport,12,3,2,4.0
Joyce King,17,Lopezborough,3,3,2,1.0
David Johnson,15,Simpsonberg,9,4,2,2.25
Maria Bowen,12,New Steven,12,2,3,6.0
Kelsey Garza,18,New Sharon,9,5,2,1.8
Patrick Jordan,14,South Angelaview,1,4,2,0.25
Jeremy Osborn,10,South Jenniferhaven,10,1,2,10.0
Cindy Daniels,15,Port Andrew,3,1,1,3.0
Amanda Hernandez,12,Juliemouth,7,1,3,7.0
Angela Ritter,10,Brownstad,2,4,1,0.5
Brent Atkins,18,West Brian,6,4,1,1.5
Jacqueline Hunt,18,Mayburgh,5,1,2,5.0
Zachary Sanders,15,Lake Eric,3,4,1,0.75
Blake Hicks,18,South Cherylmouth,6,4,3,1.5
Angela Davidson,11,East Rogerfort,12,4,2,3.0
Larry Carter,18,Port Tylerfurt,5,2,2,2.5
Cassandra Chapman,10,West Martin,11,3,1,3.6666666666666665
Dr. Laurie Turner,15,Erikmouth,7,4,2,1.75
Nicole Bradshaw,13,East Garrettshire,11,3,3,3.6666666666666665
Taylor Clark,12,New Christine,1,4,3,0.25
Diana Lawson,12,Richardsonstad,11,4,3,2.75
Ryan Murray,11,Michaelchester,8,3,3,2.6666666666666665
Jessica Gibson,16,East Samueltown,7,1,3,7.0
Christina Rivera,18,Wilsonbury,9,2,3,4.5
Heather Dixon,16,Archertown,6,5,1,1.2
Rebecca White,16,South Kellyview,5,1,1,5.0
Michelle Gallagher,11,Cruzshire,4,2,2,2.0
Janice Dunn,15,New Jesse,3,3,3,1.0
Edgar Day,11,South Kevinchester,5,4,1,1.25
Anthony Ayala,11,North Sarahshire,1,5,3,0.2
Debra Kelly,15,Camerontown,7,1,3,7.0
Tracey Silva,15,West Jasonborough,10,5,1,2.0
Steven Edwards,13,West Justin,10,5,3,2.0
Christina Ibarra,11,Natashamouth,10,4,1,2.5
Stephanie Campbell,14,South Katieburgh,5,3,2,1.6666666666666667
Michael Moore,16,Port Melissa,3,2,3,1.5
Patricia Nunez,12,West Adrienne,11,2,1,5.5
Brian West,12,North Randyton,5,2,2,2.5
John Brown Jr.,10,North Emily,9,3,3,3.0
Matthew Walton,18,Lake Melindafort,9,1,3,9.0
Nicholas Lewis,14,Turnerhaven,3,2,1,1.5
Chad Ellison,13,Port Brandifurt,7,4,1,1.75
Donald Campbell,18,Kathrynmouth,9,2,1,4.5
Joseph Jones,12,Paulstad,5,5,2,1.0
Michael Ferguson,14,Robertoville,7,1,1,7.0
William Anderson,16,Williamsburgh,2,2,3,1.0
Joe Ross,15,New Christopher,1,4,1,0.25
Tammy Arnold,17,Joneston,4,2,3,2.0
Brandon Crosby,17,Jamesmouth,11,5,3,2.2
Scott Shaw,11,Reginaton,8,5,3,1.6
Amy Morales,14,Davisburgh,4,4,1,1.0
David Hudson,18,East Gilbertmouth,1,3,2,0.3333333333333333
Eric Schmidt,12,Port Stephen,8,2,2,4.0
Megan Ewing,11,Harrisonchester,6,4,1,1.5
Roger Baker,18,Port Jordan,3,2,1,1.5
Jennifer James,15,Dalefurt,12,2,3,6.0
Nancy Smith,18,South James,1,2,1,0.5
Brandy Camacho,11,Dantown,1,2,2,0.5
Shawn Rodriguez,13,New Joshuaton,12,3,2,4.0
Miss Kelly Phillips DDS,10,East Corey,8,3,1,2.6666666666666665
Justin Smith,13,Lake Alexandria,11,4,1,2.75
Kaitlyn Gibson,18,Port Christophershire,8,2,3,4.0
Elaine Aguirre,17,South Victoria,11,1,3,11.0
Daniel Becker,10,Phillipsburgh,4,5,2,0.8
Marc Crawford,10,Glennside,10,5,1,2.0
Dennis Porter,13,South Jeffrey,3,1,3,3.0
Christopher Daniel,16,Wendyborough,3,1,3,3.0
Henry Mueller,12,New Tinaport,9,4,3,2.25
Timothy Peters,17,North Christinehaven,5,3,2,1.6666666666666667
Marc Kane,10,East Dana,12,5,3,2.4
Meghan Walker,10,Phillipstown,5,5,3,1.0
Benjamin Duncan DDS,10,Maryburgh,11,1,3,11.0
Kimberly Dickson,10,Hillchester,11,1,3,11.0
Lauren Keller,13,Smithport,10,3,2,3.3333333333333335
Miranda White,16,Ashleychester,6,5,2,1.2
Stephanie Fuentes,17,Port Amy,3,3,3,1.0
Virginia Smith,14,Hoffmanside,10,1,2,10.0
John Mann,15,East Tanner,12,5,2,2.4
Timothy Bennett,12,Austinview,12,2,3,6.0
Christopher Vargas,10,North Danielle,6,5,2,1.2
Andre Mccormick,15,Caseland,9,5,2,1.8
Ms. Ashley Lynn,13,New Carolyn,11,5,2,2.2
Stephanie Lee,16,Sanderston,11,2,3,5.5
Karen Li,14,Annchester,3,2,3,1.5
Roger Smith,18,Ellentown,5,5,1,1.0
Maria Hahn,17,East Nicolebury,2,4,1,0.5
Steven Perry,16,West Jesse,12,5,3,2.4
Christopher Mason,16,North Cherylberg,12,4,1,3.0
Julie Taylor,14,Davisville,10,3,1,3.3333333333333335
Barry Allen,14,Rodriguezville,8,3,1,2.6666666666666665
Caitlin Butler,10,Richardston,9,1,2,9.0
Casey Wolfe,12,West Ronald,1,1,3,1.0
Rachel Hughes,14,North William,4,3,3,1.3333333333333333
Michelle Morrow,12,Stevensside,11,3,3,3.6666666666666665
Jennifer Nelson,10,Sanchezborough,3,2,1,1.5
Jennifer Glover,18,South Fernandofurt,4,2,2,2.0
Jonathan Kennedy,14,West Angelaport,5,3,1,1.6666666666666667
Laura Rodriguez,15,West Allen,7,1,1,7.0
Charles Arnold,15,West Shelly,7,3,2,2.3333333333333335
Janice Nunez,12,Lake Jeffreyborough,5,2,3,2.5
Michelle Holmes,15,Lake Timothyport,3,2,1,1.5
Brianna Barry,10,Lake Trevor,3,3,1,1.0
Heather Harper,18,East Daniel,8,4,1,2.0
Linda Thompson,17,New Allisonborough,5,1,2,5.0
Jennifer Jacobs,17,Emilyview,11,5,3,2.2
Christina Lowe,15,Duncanbury,12,2,3,6.0
Melissa Perez,12,Johnsonland,6,2,2,3.0
Shawn Morse,12,East Beth,12,5,3,2.4
Michael Roberts,10,Port Monica,9,5,3,1.8
Kim King,16,Port Ryan,9,1,2,9.0
Dennis Morris,12,Bradleyhaven,8,5,3,1.6
Donna Walls,13,Jasonchester,9,5,2,1.8
Robert Maxwell,11,Port Maryport,12,1,1,12.0
Michelle Duran,16,South Isaacview,6,1,1,6.0
Willie Lopez,16,Lake Sara,9,4,2,2.25
Stephanie Norris,15,Garciafurt,6,4,1,1.5
Jonathan Alexander,13,West Katie,12,5,2,2.4
Stacy James,11,South Chelseaton,2,2,1,1.0
Jordan Richard,13,East Haley,11,1,3,11.0
Harold Olson,13,Jeffreyport,7,5,3,1.4
Joseph Carroll,12,Millermouth,4,5,1,0.8
Ian Watson,16,West Sheilaland,4,5,3,0.8
John Nelson,15,New Jasonmouth,2,5,1,0.4
Andrea Oconnor,12,Port Paige,1,5,1,0.2
Keith Delgado,10,Brownborough,2,3,2,0.6666666666666666
John Ellis,17,Hamiltonchester,7,1,3,7.0
Jacob Thomas,13,New Michelle,12,5,1,2.4
Nichole Stokes,14,Lake Francisstad,8,2,3,4.0
David Hansen,15,Port Brandi,9,5,3,1.8
Zachary Morris,10,East Jeffreyview,3,4,2,0.75
Ashley Guzman,18,Hallland,11,2,1,5.5
Amber Farmer,16,Rojasburgh,10,5,3,2.0
Brett Delacruz,16,South Michael,6,1,1,6.0
Mr. Ryan Gray,14,West Joseph,12,4,2,3.0
Patricia Richards,12,South Michelefurt,10,3,2,3.3333333333333335
Jennifer Sullivan,12,North Melissa,8,1,3,8.0
Tamara Ross MD,15,Adamshaven,12,4,1,3.0
Whitney Newman,12,East Ronaldshire,8,1,3,8.0
Nichole Allen,17,East Jeremy,8,5,3,1.6
Mike Stanley,12,North Elizabeth,8,3,2,2.6666666666666665
John Medina,18,East Stevenfort,8,5,3,1.6
John Allen,14,North Erin,9,1,3,9.0
Sean Hill,17,Gateshaven,10,1,2,10.0
Kevin Holmes,17,Parrishburgh,2,1,1,2.0
James Gay,17,Ashleyville,1,2,3,0.5
John Manning,17,South Sydney,4,1,2,4.0
Penny Hodge,11,North Robertchester,6,5,2,1.2
